district_name,division_name,ntl_mean,ntl_std,ntl_max,ntl_min,ntl_p25,ntl_p75,ntl_yoy_change,ntl_trend,pop_density,pop_total,ndvi_mean,ndvi_std,urban_fraction,water_fraction,elevation_mean,elevation_std,road_length_km,poverty_hcr,poverty_hcr_lower,poverty_change,ntl_per_capita,area_sqkm,road_density,ntl_iqr,ntl_mean_spatial_lag,ntl_per_capita_spatial_lag,ndvi_mean_spatial_lag,pop_density_spatial_lag,poverty_predicted
Cumilla,Chattogram,1.096463,1.106898,23.950001,0.4,0.689079,1.054778,0.097839,0.047408,16.013625,5186207.202849,0.62939,0.048296,0.015485,0.014288,9.699088,3.661681,14723.71,15.8,5.1,-2.6,0.068471,3088.091682,4.767899,0.365698,1.6155689999999998,0.071421,0.5750421666666666,19.574356,16.604999999999983
Cox's Bazar,Chattogram,0.823557,1.179955,23.169998,0.235,0.42436,0.805381,0.062366,0.072784,10.958968,2318705.320558,0.596894,0.189539,0.014493,0.132612,17.911364,21.338252,7027.77,15.8,5.1,-2.6,0.075149,2136.762005,3.288981,0.381021,1.090024,0.2503275,0.7175715,8.3038875,16.080999999999975
Feni,Chattogram,1.043949,0.950764,16.91,0.345,0.691553,1.055105,0.045959,0.03573,14.851291,1357862.260516,0.638349,0.085062,0.012673,0.009505,9.869417,3.215182,3610.22,15.8,5.1,-2.6,0.070293,898.488949,4.018102,0.363551,1.1847086666666666,0.0798899999999999,0.6285533333333333,14.415649,15.891999999999978
Khagrachhari,Chattogram,0.418188,0.261402,4.465,0.23,0.327558,0.420975,0.022131,0.018561,2.040192,624213.975277,0.751043,0.054112,0.001068,0.000343,97.140761,58.788911,1392.99,15.8,5.1,-2.6,0.204975,2818.693429,0.494197,0.093417,1.082176,0.220389,0.702684,8.3654055,16.491999999999976
Lakshmipur,Chattogram,0.531038,0.284571,4.635,0.21,0.356419,0.606634,0.042008,0.034107,12.858299,1735972.791259,0.529699,0.297184,0.002776,0.203307,7.171109,4.244287,1416.71,15.8,5.1,-2.6,0.041299,1252.523511,1.131085,0.250215,0.568345,0.050374,0.5348763333333333,11.471132666666666,17.337999999999983
Noakhali,Chattogram,0.63468,0.444184,8.575,0.21,0.406598,0.716535,0.051954,0.037917,11.55447,2987279.052844,0.599222,0.195128,0.005261,0.064704,7.450094,2.862861,5494.89,15.8,5.1,-2.6,0.054929,2574.753809,2.134142,0.309937,0.9274646666666668,0.0654209999999999,0.5766488333333333,13.710165833333336,16.407999999999987
Rangamati,Chattogram,0.341369,0.14762,5.65,0.125,0.299254,0.354871,0.033081,0.014949,1.051959,607015.242103,0.74832,0.104209,0.000467,0.051262,142.926497,133.120093,131.41,15.8,5.1,-2.6,0.324508,5747.463686,0.022864,0.055617,0.8660786666666667,0.2352099999999999,0.7287286666666666,6.215989,16.299999999999976
Dhaka,Dhaka,5.781373,8.311356,81.834999,0.31,0.761284,6.720235,0.676643,0.389592,95.921957,13768223.107375,0.528004,0.153307,0.175827,0.059986,9.216516,3.968687,14303.06,17.9,2.8,1.9,0.060272,1477.768361,9.678824,5.958951,1.8558656666666664,0.0883343333333333,0.5782725,19.543032166666663,17.823000000000018
Faridpur,Dhaka,0.697387,0.654237,20.395,0.3,0.444133,0.677366,0.05359,0.031991,8.710063,1750423.037683,0.585894,0.127449,0.004114,0.056971,7.956148,3.618677,2863.96,17.9,2.8,1.9,0.080067,2047.3363,1.398871,0.233233,1.3604161250000002,0.076373375,0.5820793750000001,20.085311125,17.539000000000023
Gazipur,Dhaka,2.424874,2.978393,27.17,0.455,0.803416,2.68609,0.204873,0.117021,27.962409,5103195.233147,0.628572,0.078025,0.059466,0.013029,14.123494,4.712113,7274.53,17.9,2.8,1.9,0.086719,1818.720423,3.999807,1.882674,2.3923158333333334,0.0773865,0.5571606666666666,31.793841,18.191000000000024
Gopalganj,Dhaka,0.609795,0.479375,7.28,0.285,0.423006,0.607506,0.058258,0.032677,6.280746,975131.357171,0.635757,0.047119,0.002718,0.015415,5.356,2.330592,2052.5,17.9,2.8,1.9,0.09709,1478.427916,1.388299,0.184501,0.5669736666666667,0.0877418333333333,0.5896156666666666,7.154399333333333,18.67500000000002
Kishoreganj,Dhaka,0.619842,0.545175,9.525,0.24,0.341051,0.716307,0.047745,0.030588,10.838043,2819125.509312,0.450623,0.175439,0.006474,0.049348,8.705462,3.269422,3624.16,17.9,2.8,1.9,0.057191,2565.644037,1.412573,0.375256,1.0311159999999997,0.0774791428571428,0.543006,13.358202857142857,18.005000000000017
Madaripur,Dhaka,0.642312,0.412844,6.44,0.285,0.453169,0.670692,0.03091,0.031239,9.015127,1032799.061312,0.588602,0.156098,0.005249,0.083046,6.149068,2.956799,1434.27,17.9,2.8,1.9,0.071248,1136.729819,1.261751,0.217523,0.780382,0.0790914,0.578519,9.8403714,17.882000000000023
Manikganj,Dhaka,0.752905,0.682117,14.775,0.27,0.467238,0.843919,0.0452,0.02858,9.49681,1296839.727825,0.538451,0.198227,0.003929,0.140875,8.812274,3.957266,2702.4,17.9,2.8,1.9,0.07928,1376.462478,1.963294,0.376681,1.5665403333333334,0.0713976666666666,0.5643043333333333,24.309606833333333,17.770000000000024
Munshiganj,Dhaka,1.453329,2.173145,38.805,0.315,0.63038,1.363733,0.175203,0.071066,17.029182,1390653.793436,0.569998,0.166805,0.019524,0.1171,5.974208,3.16268,2064.8,17.9,2.8,1.9,0.085343,933.54099,2.211794,0.733353,2.059669142857143,0.0714272857142857,0.5705901428571428,28.241401142857143,17.89900000000003
Narayanganj,Dhaka,5.002248,5.53615,50.974998,0.51,1.621551,5.904042,0.665054,0.348708,44.80923,3280369.509118,0.539817,0.121474,0.122374,0.078936,7.916192,3.328419,5304.21,17.9,2.8,1.9,0.111634,704.044586,7.533912,4.282491,2.165945166666667,0.071711,0.5826833333333333,31.904567,17.829000000000025
Narsingdi,Dhaka,1.293761,1.587567,26.130001,0.38,0.692547,1.186262,0.119421,0.066418,19.568869,2222183.839712,0.607921,0.113626,0.020056,0.060037,10.204353,4.048658,3411.68,17.9,2.8,1.9,0.066113,1168.33765,2.920115,0.493715,2.24820875,0.079723,0.53780675,24.6352605,17.822000000000028
Rajbari,Dhaka,0.573674,0.323921,4.115,0.265,0.414703,0.615091,0.023765,0.021236,8.767909,987329.82081,0.571342,0.163603,0.004351,0.103458,10.458515,3.563516,1600.93,17.9,2.8,1.9,0.065429,1141.791454,1.402121,0.200388,0.7165375,0.0771309999999999,0.5907351666666667,9.252219666666669,18.078000000000028
Shariatpur,Dhaka,0.584564,0.380991,10.38,0.255,0.467726,0.589374,0.034041,0.039615,8.949203,1034239.490732,0.551772,0.194744,0.003218,0.142166,6.46502,3.716783,1898.28,17.9,2.8,1.9,0.06532,1242.368575,1.527952,0.121649,0.81645325,0.06680175,0.5696065,12.13689375,18.35000000000002
Tangail,Dhaka,0.804451,0.806217,19.720001,0.275,0.561432,0.801047,0.043728,0.029165,9.250499,3309864.732887,0.606903,0.111775,0.007506,0.037703,15.857805,5.482573,6410.14,17.9,2.8,1.9,0.086963,3371.410954,1.901323,0.239615,1.8541716666666663,0.0711961666666666,0.5650961666666666,27.693311833333333,17.974000000000025
Bagerhat,Khulna,0.540412,1.365011,64.395004,0.22,0.352797,0.352797,0.055234,0.038879,3.278767,1235993.536504,0.588752,0.167656,0.002201,0.102162,7.874251,3.943054,3337.41,14.8,2.9,-12.7,0.164822,3690.894611,0.904228,0.0,0.530459,0.0867514,0.590919,6.215840000000001,19.331999999999997
Chuadanga,Khulna,0.678835,0.381024,6.15,0.325,0.515198,0.702228,0.026198,0.023301,8.592505,1028416.401147,0.628736,0.026806,0.026158,0.004935,13.996855,2.587359,3407.36,14.8,2.9,-12.7,0.079003,1166.576045,2.920821,0.18703,0.7312653333333333,0.0830269999999999,0.615083,8.894949666666665,16.108999999999977
